,forecast,ic_inf,ic_sup
2025-01-01,144.0099442685717,129.78825082572482,158.23163771141859
2025-02-01,143.99148735382096,125.57564138328736,162.40733332435454
2025-03-01,143.99826268725585,121.67004812725307,166.32647724725862
2025-04-01,143.99577553575878,118.51069416803958,169.48085690347799
2025-05-01,143.9966885421265,115.65043006500733,172.34294701924566
2025-06-01,143.9963533873808,113.07068724041233,174.92201953434926
2025-07-01,143.99647641905673,110.68432737588822,177.30862546222525
2025-08-01,143.9964312554615,108.45984517936313,179.53301733155985
2025-09-01,143.996447834528,106.36594560816803,181.62695006088796
2025-10-01,143.9964417485323,104.3828094847297,183.6100740123349
2025-11-01,143.99644398263538,102.49424427398621,185.49864369128454
2025-12-01,143.99644316252034,100.68798525462196,187.3049010704187
2026-01-01,143.99644346357567,98.95409127920803,189.03879564794332
2026-02-01,143.99644335306152,97.2845168197133,190.70836988640974
2026-03-01,143.99644339363007,95.67258998948535,192.3202967977748
2026-04-01,143.9964433787378,94.11272374172034,193.88016301575527
2026-05-01,143.9964433842046,92.60017717435443,195.3927095940548
2026-06-01,143.9964433821978,91.130888726869,196.86199803752663
2026-07-01,143.99644338293447,89.70134636479729,198.29154040107164
2026-08-01,143.99644338266404,88.30848911526739,199.6843976500607
2026-09-01,143.99644338276332,86.9496297898715,201.04325697565514
2026-10-01,143.99644338272688,85.6223940834588,202.37049268199496
2026-11-01,143.99644338274027,84.32467181418482,203.6682149512957
2026-12-01,143.99644338273535,83.05457753790145,204.93830922756925
